date,nvda_open,nvda_high,nvda_low,nvda_close,nvda_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,nvda_monthly_return_pct,btc_monthly_return_pct,nvda_cum_return,btc_cum_return,nvda_monthly_range_pct,btc_monthly_range_pct
2020-01,5.9419,6.4583,5.7557,5.8841,6125412000,7194.8921,9553.126,6914.9961,9350.5293,852872174496,,,100.0,100.0,11.9401,28.2137
2020-02,5.866,7.8724,5.8598,6.7214,11848652000,9346.3574,10457.627,8492.9326,8599.5088,1163376492768,14.2283,-8.0319,114.2283,91.9681,29.9441,22.8466
2020-03,6.8955,7.0944,4.4994,6.5643,15773952000,8599.7588,9167.6953,4106.981,6438.6445,1290442059648,-2.3373,-25.1278,111.5585,68.8586,39.5334,78.5991
2020-04,6.3663,7.5753,5.9365,7.2785,11278304000,6437.3193,9440.6504,6202.3735,8658.5537,1156127164831,10.8801,34.4779,123.6962,92.5996,22.5161,37.3997
2020-05,7.081,9.1459,6.9936,8.8408,12548876000,8672.7822,9996.7432,8374.3232,9461.0586,1286368141507,21.4657,9.2683,150.2484,101.1821,24.3451,17.1484
2020-06,8.7988,9.6048,8.6242,9.4607,9719464000,9463.6055,10199.5654,8975.5254,9137.9932,650913318680,7.0109,-3.4147,160.7822,97.727,10.3656,13.3951
2020-07,9.4879,10.755,9.3805,10.5781,8094452000,9145.9854,11415.8643,8977.0156,11323.4668,545813339109,11.8117,23.9163,179.7733,121.0997,12.9937,21.538
2020-08,10.6955,13.5282,10.6783,13.3283,9672544000,11322.5703,12359.0566,11012.415,11680.8203,708377092130,25.9992,3.1559,226.5129,124.9215,21.3821,11.5287
2020-09,13.4335,14.6759,11.6639,13.4838,15856552000,11679.3164,12067.0811,9916.4932,10784.4912,1075949438431,1.1664,-7.6735,229.1549,115.3356,22.3384,19.9415
2020-10,13.7146,14.3033,12.2612,12.4945,8022356000,10795.2549,14028.2139,10416.6895,13780.9951,1050874546086,-7.3371,27.7853,212.3415,147.382,16.3435,26.2066
2020-11,12.6178,14.6452,12.3559,13.3592,7594820000,13780.9951,19749.2637,13243.1602,19625.8359,1093144913227,6.9212,42.4123,227.038,209.8901,17.1361,33.1507
2020-12,13.4497,13.688,12.723,13.0138,5120996000,19633.7695,29244.877,17619.5332,29001.7207,1212259707946,-2.5855,47.7732,221.1679,310.1613,7.4148,40.085
2021-01,13.0668,13.9592,12.55,12.9526,6154172000,28994.0098,41946.7383,28722.7559,33114.3594,2153473433571,-0.4704,14.1807,220.1275,354.1442,10.8797,39.9343
2021-02,13.0159,15.3286,12.8659,13.6753,6680324000,33114.5781,58330.5703,32384.2285,45137.7695,2267152936675,5.5794,36.3088,232.4093,482.7296,18.0083,57.4826
2021-03,13.8353,13.8852,11.5334,13.3101,7648656000,45159.5039,61683.8633,45115.0938,58918.832,1681184264687,-2.6705,30.5311,226.2027,630.1123,17.669,28.1213
2021-04,13.5381,16.1735,13.4773,14.9718,6718796000,58926.5625,64863.0977,47159.4844,57750.1758,1844481772417,12.4843,-1.9835,254.4425,617.614,18.0086,30.6555
2021-05,15.087,16.2366,13.4252,16.2037,7054380000,57714.6641,59519.3555,30681.4961,37332.8555,1976593438572,8.2281,-35.3546,275.3783,399.2593,17.3505,77.2453
2021-06,16.2291,20.1118,15.8633,19.9522,10273292000,37293.793,41295.2695,28893.6211,35040.8359,1189647451707,23.134,-6.1394,339.0842,374.7471,21.2936,35.392
2021-07,20.079,20.8273,17.8247,19.4544,7823077000,35035.9844,42235.5469,29360.9551,41626.1953,819103381204,-2.4949,18.7934,330.6246,445.1747,15.4341,30.9291
2021-08,19.655,22.9903,18.7191,22.3338,6416386000,41460.8438,50482.0781,37458.0039,47166.6875,1014674184428,14.8008,13.3101,379.5596,504.428,19.1244,27.6129
