date,nvda_vol_12m_ann,btc_vol_12m_ann,nvda_return_12m_ann,btc_return_12m_ann,nvda_sharpe_12m,btc_sharpe_12m,rolling_12m_correlation,nvda_drawdown_pct,btc_drawdown_pct,nvda_vs_btc_beta_6m
2020-01,,,,,,,,0.0,0.0,
2020-02,,,,,,,,0.0,-8.0319,
2020-03,,,,,,,,-2.3372,-31.1414,
2020-04,,,,,,,,0.0,-7.4004,
2020-05,,,,,,,,0.0,0.0,
2020-06,,,,,,,,0.0,-3.4147,
2020-07,,,,,,,,0.0,0.0,0.1882
2020-08,,,,,,,,0.0,0.0,0.2026
2020-09,,,,,,,,0.0,-7.6735,0.0945
2020-10,,,,,,,,-7.3371,0.0,-0.1965
2020-11,,,,,,,,-0.9238,0.0,-0.1175
2020-12,,,,,,,,-3.4854,0.0,-0.2137
2021-01,35.1803,78.0059,120.1277,254.1438,3.287,3.2,-0.1343,-3.9394,0.0,-0.1958
2021-02,34.3567,77.4234,103.4605,424.8876,2.88,5.43,-0.08,0.0,0.0,0.0308
2021-03,34.4518,63.1338,102.7663,815.0813,2.852,12.839,-0.3463,-2.6705,0.0,0.1407
2021-04,34.7116,65.4803,105.6999,566.9726,2.915,8.59,-0.4242,0.0,-1.9835,-0.1607
2021-05,30.8415,84.7336,83.2823,294.5948,2.554,3.424,-0.3684,0.0,-36.6368,-0.1389
2021-06,35.5514,85.4137,110.8971,283.4632,2.993,3.266,-0.4385,0.0,-40.5269,-0.1804
2021-07,36.2472,84.955,83.9122,267.6102,2.191,3.097,-0.4649,-2.4948,-29.3499,-0.193
2021-08,30.6984,84.1244,67.5667,303.7961,2.054,3.558,-0.4592,0.0,-19.9463,-0.2079
2021-09,32.9144,83.974,53.3122,306.0542,1.483,3.591,-0.3544,-7.4396,-25.6759,-0.0572
2021-10,35.6035,86.8443,104.1948,344.9528,2.8,3.92,-0.1057,0.0,0.0,0.1404
2021-11,41.4671,84.5209,144.0788,190.461,3.366,2.2,-0.2219,0.0,-7.0346,0.0653
2021-12,44.1649,79.8056,125.5213,59.6677,2.74,0.691,0.0615,-9.992,-24.4827,0.357
2022-01,50.0496,82.502,88.6674,16.2126,1.682,0.142,0.2085,-25.0551,-37.2411,0.5739
2022-02,50.5059,75.3584,77.96,-4.3082,1.454,-0.117,0.2135,-25.3642,-29.5597,0.5035
2022-03,49.9244,68.8136,104.5949,-22.7097,2.005,-0.395,0.3309,-16.4851,-25.7348,0.486
